location,store_name,item_id,margin,timestamp
Newcastle,Lidil,54,9.60,2017-03-05 23:32:33
Manchester,Spar,50,3.06,2016-11-17 17:49:56
London,Sainsbury,7,1.31,2017-03-02 19:47:08
Newcastle,Spar,25,9.94,2017-01-26 16:41:40
Glasglow,Aldi,45,8.92,2016-05-10 13:21:57
Edinburgh,Morissons,47,7.05,2016-12-30 02:17:22
Edinburgh,Sainsbury,30,4.50,2016-03-01 09:58:49
Birmingham,Spar,32,5.49,2017-02-25 09:27:27
Manchester,Aldi,29,1.14,2016-12-20 09:31:59
Manchester,Aldi,4,1.98,2016-05-25 19:05:11
London,Spar,43,4.40,2016-07-09 16:20:19
Birmingham,Aldi,8,8.32,2016-10-12 02:04:20
Birmingham,Aldi,5,7.93,2016-03-28 01:02:50
Manchester,Morissons,21,5.78,2016-11-10 12:32:03
Newcastle,Aldi,15,7.25,2016-08-01 17:31:03
Edinburgh,Morissons,37,8.00,2016-10-06 00:51:17
Edinburgh,Aldi,55,4.70,2016-07-07 00:33:56
Newcastle,Lidil,34,9.47,2016-03-25 20:04:06
London,Aldi,43,4.40,2017-02-28 07:56:23
Newcastle,Sainsbury,21,5.78,2017-01-26 14:05:44
Manchester,Sainsbury,32,5.49,2016-03-03 21:13:12
Manchester,Aldi,50,3.06,2016-07-15 11:26:30
Edinburgh,Coop,60,3.85,2017-03-14 03:43:41
Edinburgh,Coop,8,8.32,2016-09-24 09:20:26
Newcastle,Coop,7,1.31,2017-01-05 23:07:39
Manchester,Sainsbury,3,5.55,2016-07-03 15:50:28
Glasglow,Spar,49,3.94,2016-08-05 21:59:45
Edinburgh,Coop,36,5.67,2017-03-04 23:58:56
Manchester,Aldi,49,3.94,2016-06-10 17:44:03
Edinburgh,Aldi,7,1.31,2017-01-29 05:58:11
Newcastle,Sainsbury,33,6.82,2016-11-19 11:35:54
Manchester,Sainsbury,13,8.53,2016-12-27 05:27:42
Manchester,Lidil,59,0.54,2016-03-03 09:21:49
London,Coop,31,6.10,2016-06-04 05:19:51
Glasglow,Morissons,25,9.94,2017-03-07 16:23:13
Glasglow,Morissons,16,6.00,2016-12-20 18:35:58
Birmingham,Sainsbury,44,4.94,2016-12-23 20:11:50
Edinburgh,Sainsbury,33,6.82,2016-06-18 16:39:55
Manchester,Sainsbury,3,5.55,2016-07-06 16:11:01
Newcastle,Tesco,19,3.93,2016-04-01 10:29:39
Birmingham,Lidil,59,0.54,2016-10-05 05:29:18
Newcastle,Tesco,23,7.37,2016-07-09 01:11:48
Edinburgh,Morissons,16,6.00,2016-11-28 00:57:50
Newcastle,Sainsbury,37,8.00,2016-07-19 20:12:06
Edinburgh,Sainsbury,4,1.98,2016-09-24 06:34:22
Newcastle,Tesco,54,9.60,2017-03-14 11:46:23
Glasglow,Tesco,53,4.90,2016-04-25 03:27:56
London,Tesco,4,1.98,2016-09-29 04:58:46
London,Morissons,24,3.44,2016-09-02 20:07:12
Edinburgh,Tesco,16,6.00,2016-04-10 15:42:43
Edinburgh,Tesco,33,6.82,2016-12-25 08:28:16
London,Spar,20,6.97,2016-03-16 01:28:54
Newcastle,Sainsbury,5,7.93,2016-03-08 15:37:26
Newcastle,Tesco,54,9.60,2016-07-31 08:02:37
Birmingham,Tesco,48,1.26,2016-04-12 11:38:32
Birmingham,Coop,44,4.94,2016-07-18 23:35:07
Manchester,Spar,21,5.78,2016-04-04 21:54:21
London,Sainsbury,13,8.53,2016-11-11 13:25:05
London,Tesco,53,4.90,2016-06-22 21:42:37
Glasglow,Sainsbury,7,1.31,2017-03-06 14:08:53
Newcastle,Spar,59,0.54,2016-05-24 19:24:19
Birmingham,Morissons,58,9.94,2016-07-16 14:59:00
Glasglow,Lidil,52,8.17,2016-11-03 18:16:11
Newcastle,Coop,34,9.47,2016-11-21 15:10:15
Manchester,Spar,24,3.44,2017-01-16 11:07:47
Birmingham,Sainsbury,23,7.37,2016-10-11 18:59:42
Newcastle,Coop,27,4.42,2016-09-23 08:38:30
Newcastle,Sainsbury,30,4.50,2017-02-20 15:15:32
Edinburgh,Aldi,58,9.94,2016-10-03 16:35:59
Birmingham,Spar,37,8.00,2016-03-11 21:58:28
Edinburgh,Spar,50,3.06,2016-06-16 03:15:26
Glasglow,Morissons,36,5.67,2016-06-08 21:29:01
Birmingham,Coop,42,9.19,2016-04-01 02:07:47
Edinburgh,Aldi,9,2.35,2016-10-26 22:47:31
London,Tesco,14,0.36,2016-06-18 00:18:30
Manchester,Coop,31,6.10,2016-06-19 11:41:54
Manchester,Aldi,46,0.99,2016-06-26 19:14:29
Glasglow,Spar,54,9.60,2016-06-01 17:15:43
Manchester,Lidil,5,7.93,2017-02-27 15:10:33
London,Sainsbury,43,4.40,2016-07-10 16:04:01
Glasglow,Sainsbury,35,2.13,2016-08-09 01:37:46
Newcastle,Tesco,27,4.42,2016-05-21 20:59:33
London,Sainsbury,46,0.99,2016-12-02 21:30:45
Edinburgh,Tesco,21,5.78,2016-08-31 14:24:14
Manchester,Sainsbury,21,5.78,2016-12-20 19:05:09
Birmingham,Sainsbury,39,5.92,2017-02-04 02:31:02
Glasglow,Spar,11,5.41,2016-11-13 11:13:23
London,Aldi,26,8.90,2016-10-19 19:41:58
Newcastle,Morissons,44,4.94,2016-04-04 21:50:07
Birmingham,Aldi,7,1.31,2017-01-10 15:51:02
Glasglow,Spar,41,6.96,2016-09-19 15:26:01
Edinburgh,Sainsbury,52,8.17,2016-11-23 16:02:35
Edinburgh,Tesco,11,5.41,2016-04-15 16:34:26
Manchester,Sainsbury,43,4.40,2017-01-18 10:52:36
Glasglow,Lidil,24,3.44,2016-11-21 12:02:23
Glasglow,Aldi,21,5.78,2016-12-23 16:00:50
Birmingham,Morissons,47,7.05,2016-09-26 17:52:36
Edinburgh,Lidil,46,0.99,2016-03-13 19:34:50
London,Spar,17,6.34,2016-06-20 08:18:34
Manchester,Tesco,16,6.00,2016-03-22 20:40:19
Manchester,Tesco,33,6.82,2016-07-09 11:52:00
London,Tesco,13,8.53,2016-10-23 17:56:26
Newcastle,Spar,10,3.50,2016-04-06 01:05:32
Edinburgh,Spar,55,4.70,2017-01-02 22:08:16
Manchester,Spar,32,5.49,2017-01-12 01:03:17
London,Tesco,36,5.67,2016-05-06 22:28:43
Edinburgh,Tesco,24,3.44,2017-02-04 09:43:10
Newcastle,Lidil,22,1.07,2016-09-09 21:48:28
Edinburgh,Coop,17,6.34,2017-03-11 03:37:19
Edinburgh,Morissons,51,3.86,2016-04-21 15:45:01
Newcastle,Sainsbury,27,4.42,2016-04-10 14:56:08
Birmingham,Morissons,23,7.37,2017-02-26 12:47:48
Birmingham,Aldi,32,5.49,2017-01-29 15:17:27
London,Aldi,52,8.17,2016-07-13 01:56:49
Glasglow,Sainsbury,39,5.92,2016-04-09 19:25:48
Glasglow,Aldi,32,5.49,2016-05-26 15:55:47
Birmingham,Tesco,26,8.90,2016-06-12 14:24:35
Birmingham,Spar,39,5.92,2016-08-05 20:11:24
Newcastle,Lidil,58,9.94,2016-10-03 10:41:05
Birmingham,Lidil,31,6.10,2016-06-09 09:50:15
Birmingham,Morissons,31,6.10,2016-03-20 08:45:55
London,Morissons,25,9.94,2016-08-06 16:26:32
London,Tesco,1,1.30,2016-12-30 19:57:23
Manchester,Morissons,42,9.19,2017-02-25 09:54:11
Birmingham,Lidil,60,3.85,2016-07-03 08:56:55
Newcastle,Coop,26,8.90,2017-03-03 17:35:45
Glasglow,Spar,30,4.50,2016-09-05 04:08:30
Newcastle,Lidil,3,5.55,2016-10-13 22:56:20
Manchester,Coop,54,9.60,2016-12-15 05:44:11
Edinburgh,Lidil,5,7.93,2016-11-16 13:59:49
Manchester,Coop,19,3.93,2016-04-26 00:45:26
Glasglow,Spar,4,1.98,2016-08-18 12:07:04
Glasglow,Coop,12,5.99,2017-03-09 14:08:01
Newcastle,Coop,10,3.50,2016-04-04 12:20:55
Birmingham,Aldi,18,3.99,2017-02-24 17:17:34
London,Morissons,36,5.67,2017-03-12 00:21:48
Manchester,Spar,53,4.90,2017-02-10 12:33:29
Edinburgh,Spar,29,1.14,2016-07-21 02:48:08
Edinburgh,Coop,16,6.00,2016-08-13 12:12:27
London,Coop,26,8.90,2016-04-18 20:43:10
Birmingham,Sainsbury,12,5.99,2017-01-10 08:23:22
Birmingham,Coop,21,5.78,2016-04-15 20:35:45
Birmingham,Coop,33,6.82,2016-11-20 22:06:25
Glasglow,Aldi,7,1.31,2016-10-14 12:46:37
Glasglow,Morissons,10,3.50,2016-05-15 03:28:57
Newcastle,Aldi,20,6.97,2017-01-14 01:52:17
London,Sainsbury,31,6.10,2017-03-02 06:45:02
Glasglow,Morissons,27,4.42,2017-01-09 01:08:50
Edinburgh,Lidil,27,4.42,2017-03-05 15:16:36
London,Lidil,2,2.38,2016-07-27 02:03:16
London,Sainsbury,18,3.99,2016-04-26 04:01:29
Edinburgh,Aldi,42,9.19,2016-10-24 23:00:06
Birmingham,Spar,40,1.87,2016-10-28 08:01:11
Edinburgh,Morissons,2,2.38,2017-02-28 11:22:41
London,Spar,16,6.00,2016-11-16 20:52:38
Manchester,Coop,52,8.17,2016-10-02 20:21:54
London,Morissons,13,8.53,2016-03-24 21:34:49
Manchester,Coop,51,3.86,2016-04-04 13:41:43
Manchester,Coop,9,2.35,2017-01-29 17:06:31
Glasglow,Aldi,15,7.25,2016-09-01 09:37:21
Glasglow,Lidil,12,5.99,2016-08-05 08:05:36
Birmingham,Morissons,6,4.36,2016-03-18 11:39:24
Glasglow,Lidil,24,3.44,2016-09-15 01:13:26
Manchester,Sainsbury,59,0.54,2016-03-19 16:03:40
Glasglow,Morissons,27,4.42,2016-09-05 07:54:17
Edinburgh,Coop,10,3.50,2016-03-26 20:02:24
Glasglow,Spar,58,9.94,2017-02-04 14:25:33
Manchester,Aldi,4,1.98,2016-05-07 15:58:43
Edinburgh,Tesco,12,5.99,2016-11-23 03:48:29
Manchester,Aldi,14,0.36,2016-06-06 05:28:11
Newcastle,Lidil,23,7.37,2016-04-17 21:19:03
Birmingham,Tesco,34,9.47,2017-01-04 19:01:39
Newcastle,Coop,44,4.94,2016-08-05 12:48:57
Glasglow,Morissons,10,3.50,2016-06-29 13:24:10
Birmingham,Sainsbury,37,8.00,2016-05-25 22:47:06
Glasglow,Sainsbury,59,0.54,2016-09-13 15:58:49
London,Coop,46,0.99,2016-10-18 00:43:49
Glasglow,Aldi,22,1.07,2016-09-06 19:40:34
Manchester,Aldi,51,3.86,2016-11-02 01:21:34
Glasglow,Spar,24,3.44,2016-05-20 02:13:53
Birmingham,Aldi,31,6.10,2016-08-21 21:04:03
Newcastle,Spar,45,8.92,2016-03-03 16:06:56
Edinburgh,Sainsbury,24,3.44,2016-07-27 10:42:59
Newcastle,Spar,42,9.19,2016-08-21 00:05:03
Manchester,Sainsbury,42,9.19,2016-03-24 06:15:48
Newcastle,Sainsbury,22,1.07,2016-03-05 15:22:06
Newcastle,Lidil,22,1.07,2016-05-30 06:37:14
Glasglow,Spar,33,6.82,2016-10-30 21:52:19
Newcastle,Aldi,37,8.00,2016-07-28 02:28:25
Manchester,Tesco,18,3.99,2016-08-22 00:55:43
Birmingham,Morissons,8,8.32,2016-07-24 12:15:40
Glasglow,Morissons,23,7.37,2016-09-08 13:03:12
Glasglow,Spar,34,9.47,2017-03-15 02:09:12
Newcastle,Spar,16,6.00,2016-03-31 03:19:25
Manchester,Sainsbury,21,5.78,2016-04-03 01:45:16
London,Tesco,6,4.36,2016-09-02 13:06:47
Newcastle,Coop,30,4.50,2016-03-11 21:36:48
Edinburgh,Coop,12,5.99,2017-01-07 19:01:44
Manchester,Morissons,30,4.50,2016-10-10 17:52:15
Glasglow,Lidil,47,7.05,2016-10-19 16:42:07
Glasglow,Lidil,42,9.19,2017-01-10 07:12:52
Birmingham,Sainsbury,12,5.99,2016-05-28 09:26:16
Glasglow,Morissons,57,4.52,2016-07-19 08:02:35
Edinburgh,Sainsbury,6,4.36,2016-08-21 00:21:54
London,Spar,50,3.06,2016-08-10 04:14:14
Manchester,Tesco,25,9.94,2017-01-08 00:20:53
Glasglow,Sainsbury,7,1.31,2017-01-18 10:40:37
Newcastle,Morissons,27,4.42,2016-11-29 02:32:05
Manchester,Morissons,20,6.97,2016-05-08 00:53:46
London,Morissons,47,7.05,2017-01-30 17:26:44
Edinburgh,Aldi,14,0.36,2016-07-02 03:26:27
Edinburgh,Aldi,1,1.30,2016-03-27 18:28:09
Glasglow,Sainsbury,60,3.85,2017-01-27 18:06:05
London,Coop,33,6.82,2016-03-14 04:35:46
Birmingham,Coop,36,5.67,2017-01-23 19:24:20
Birmingham,Aldi,10,3.50,2016-09-28 05:01:16
Glasglow,Morissons,24,3.44,2016-06-06 23:01:24
Newcastle,Sainsbury,10,3.50,2016-09-21 04:39:36
London,Tesco,32,5.49,2016-07-26 08:34:26
Edinburgh,Morissons,36,5.67,2016-03-18 00:36:26
Edinburgh,Lidil,6,4.36,2016-04-29 20:18:35
Manchester,Tesco,2,2.38,2016-10-31 02:41:55
London,Spar,22,1.07,2016-07-04 00:41:19
Newcastle,Spar,44,4.94,2016-10-25 10:43:18
Newcastle,Sainsbury,3,5.55,2016-04-16 15:31:38
Newcastle,Morissons,23,7.37,2016-07-25 13:55:00
Edinburgh,Morissons,8,8.32,2016-05-25 02:59:46
Edinburgh,Lidil,31,6.10,2016-10-31 16:48:38
Edinburgh,Morissons,2,2.38,2016-08-19 11:29:51
Edinburgh,Tesco,40,1.87,2016-10-02 19:43:21
Edinburgh,Coop,17,6.34,2016-10-24 01:46:03
Glasglow,Lidil,32,5.49,2016-04-09 03:58:34
Glasglow,Morissons,35,2.13,2017-03-11 19:08:11
Glasglow,Tesco,15,7.25,2017-02-18 10:26:17
Newcastle,Lidil,46,0.99,2016-11-05 00:20:57
Newcastle,Coop,17,6.34,2016-07-02 00:27:47
Birmingham,Lidil,10,3.50,2016-10-21 18:33:08
Birmingham,Tesco,6,4.36,2016-10-30 09:26:46
Edinburgh,Aldi,56,9.55,2016-08-12 04:35:47
London,Spar,23,7.37,2016-07-18 02:20:34
Newcastle,Sainsbury,23,7.37,2016-07-02 14:51:08
Glasglow,Spar,34,9.47,2016-10-06 17:45:33
Birmingham,Morissons,59,0.54,2017-03-04 10:40:15
Glasglow,Tesco,51,3.86,2016-06-27 01:58:05
Edinburgh,Spar,6,4.36,2016-04-08 10:18:39
Birmingham,Aldi,14,0.36,2017-02-06 23:56:10
Manchester,Morissons,15,7.25,2016-03-23 07:20:30
London,Spar,39,5.92,2016-08-05 16:23:37
London,Sainsbury,32,5.49,2017-02-05 01:30:38
London,Sainsbury,11,5.41,2016-12-26 15:05:02
Glasglow,Morissons,25,9.94,2016-09-20 04:53:56
Birmingham,Coop,34,9.47,2016-08-05 01:14:26
Newcastle,Tesco,15,7.25,2016-03-24 17:54:09
Newcastle,Morissons,16,6.00,2016-06-18 12:38:27
Newcastle,Coop,56,9.55,2016-09-08 10:38:56
Birmingham,Tesco,29,1.14,2016-05-15 10:52:20
Edinburgh,Lidil,24,3.44,2016-08-20 00:05:42
Newcastle,Sainsbury,26,8.90,2016-08-16 05:58:02
Edinburgh,Lidil,32,5.49,2017-03-14 09:10:46
London,Aldi,42,9.19,2017-01-08 21:49:21
Birmingham,Morissons,39,5.92,2016-10-13 16:51:28
London,Spar,48,1.26,2016-05-13 10:53:54
Newcastle,Sainsbury,37,8.00,2016-10-01 04:49:07
Newcastle,Aldi,20,6.97,2016-06-07 05:29:24
Manchester,Spar,50,3.06,2017-01-09 10:59:32
Birmingham,Sainsbury,2,2.38,2016-08-16 03:26:36
Edinburgh,Spar,51,3.86,2017-01-13 20:34:17
Manchester,Spar,21,5.78,2017-01-11 04:55:08
Newcastle,Lidil,21,5.78,2016-09-10 23:48:00
Birmingham,Spar,50,3.06,2016-10-14 22:04:34
Edinburgh,Morissons,29,1.14,2016-12-10 21:53:01
Birmingham,Lidil,29,1.14,2016-12-04 01:54:10
Manchester,Tesco,11,5.41,2016-12-29 02:37:15
Birmingham,Tesco,6,4.36,2017-01-06 03:25:27
Newcastle,Aldi,1,1.30,2017-02-24 21:45:27
Newcastle,Coop,19,3.93,2016-11-30 19:40:53
Manchester,Coop,42,9.19,2016-09-03 02:47:52
Manchester,Sainsbury,45,8.92,2016-12-12 22:51:41
Manchester,Sainsbury,57,4.52,2017-02-27 23:27:47
Glasglow,Aldi,9,2.35,2017-02-06 08:53:07
Manchester,Sainsbury,57,4.52,2016-07-02 19:16:04
Manchester,Tesco,56,9.55,2016-03-14 19:44:49
Edinburgh,Coop,21,5.78,2016-06-05 19:45:21
Manchester,Spar,46,0.99,2016-10-17 10:03:46
Birmingham,Lidil,29,1.14,2017-02-11 02:53:26
Manchester,Aldi,4,1.98,2016-12-05 17:22:44
Birmingham,Coop,9,2.35,2016-08-26 15:23:08
Newcastle,Tesco,15,7.25,2016-07-27 19:37:06
Newcastle,Coop,38,8.22,2017-01-03 16:59:50
London,Tesco,17,6.34,2017-01-22 10:06:25
Edinburgh,Aldi,49,3.94,2017-01-27 15:01:32
Newcastle,Morissons,38,8.22,2016-08-05 15:39:03
Newcastle,Spar,25,9.94,2016-08-27 07:58:24
Glasglow,Aldi,54,9.60,2016-11-30 03:19:22
Manchester,Sainsbury,56,9.55,2017-02-19 19:54:28
London,Tesco,31,6.10,2017-02-20 06:27:35
Birmingham,Coop,14,0.36,2016-09-17 00:29:08
London,Coop,35,2.13,2016-07-24 08:58:44
Glasglow,Spar,52,8.17,2017-03-05 14:53:10
Birmingham,Morissons,9,2.35,2016-12-03 12:30:22
Edinburgh,Spar,39,5.92,2016-03-02 20:34:25
Newcastle,Coop,2,2.38,2016-05-20 20:38:12
Manchester,Coop,17,6.34,2016-08-26 17:43:03
Glasglow,Aldi,6,4.36,2017-02-06 13:00:48
Edinburgh,Spar,11,5.41,2017-01-16 19:46:31
Manchester,Coop,35,2.13,2016-12-02 21:20:48
Glasglow,Sainsbury,4,1.98,2016-09-02 12:59:08
Edinburgh,Tesco,41,6.96,2016-09-07 12:20:30
London,Sainsbury,47,7.05,2016-08-20 16:57:53
London,Aldi,14,0.36,2016-11-09 11:43:40
Birmingham,Morissons,13,8.53,2016-08-25 02:22:08
Manchester,Sainsbury,23,7.37,2016-06-11 20:33:00
Newcastle,Aldi,28,3.99,2016-06-10 04:42:08
Manchester,Coop,11,5.41,2017-03-06 18:29:16
Manchester,Coop,24,3.44,2016-06-11 15:39:54
Manchester,Morissons,2,2.38,2016-05-27 03:24:44
Birmingham,Spar,4,1.98,2016-08-29 20:29:41
Newcastle,Sainsbury,44,4.94,2016-09-19 09:31:49
Newcastle,Sainsbury,22,1.07,2016-07-24 04:00:52
Glasglow,Sainsbury,18,3.99,2016-09-27 07:52:32
Birmingham,Aldi,28,3.99,2016-12-21 11:37:20
Glasglow,Aldi,27,4.42,2017-02-16 14:05:17
Edinburgh,Coop,48,1.26,2016-03-04 08:28:41
Birmingham,Lidil,1,1.30,2017-02-24 14:46:09
Glasglow,Coop,26,8.90,2017-01-22 18:56:00
Manchester,Sainsbury,33,6.82,2016-08-05 02:59:20
Newcastle,Coop,3,5.55,2016-03-21 22:36:48
Edinburgh,Morissons,9,2.35,2016-09-10 10:14:42
Glasglow,Aldi,42,9.19,2017-01-19 19:25:48
Newcastle,Sainsbury,26,8.90,2017-03-09 11:19:19
Glasglow,Sainsbury,12,5.99,2016-06-05 04:06:38
Manchester,Spar,17,6.34,2016-06-13 14:00:44
Birmingham,Lidil,29,1.14,2017-02-20 23:04:43
Manchester,Coop,38,8.22,2017-02-06 04:27:32
Glasglow,Lidil,22,1.07,2016-07-06 22:53:24
Birmingham,Spar,36,5.67,2017-01-25 13:11:43
Manchester,Spar,53,4.90,2017-01-30 10:46:59
Edinburgh,Morissons,37,8.00,2016-03-17 07:47:56
Edinburgh,Sainsbury,56,9.55,2016-10-03 02:43:55
Manchester,Aldi,2,2.38,2017-03-02 00:41:18
Birmingham,Lidil,41,6.96,2017-03-01 21:57:51
Glasglow,Sainsbury,38,8.22,2017-02-03 06:20:16
Manchester,Tesco,20,6.97,2016-12-27 04:34:49
Manchester,Coop,31,6.10,2016-12-10 20:27:37
Manchester,Aldi,17,6.34,2016-05-06 19:45:48
London,Sainsbury,31,6.10,2016-09-26 08:13:12
Newcastle,Sainsbury,52,8.17,2016-10-28 19:57:28
London,Morissons,8,8.32,2016-04-19 04:33:33
London,Coop,26,8.90,2016-07-16 15:15:22
London,Lidil,33,6.82,2016-05-21 18:06:13
Manchester,Sainsbury,19,3.93,2016-09-04 23:34:47
Glasglow,Spar,8,8.32,2016-04-24 12:04:31
Newcastle,Lidil,32,5.49,2016-05-17 06:17:21
Manchester,Lidil,36,5.67,2016-08-14 14:56:48
Birmingham,Tesco,18,3.99,2016-12-18 03:23:32
Edinburgh,Sainsbury,15,7.25,2016-11-13 17:13:50
London,Morissons,15,7.25,2016-12-31 05:10:37
London,Spar,56,9.55,2016-03-14 11:41:05
Newcastle,Coop,37,8.00,2016-12-12 22:53:06
Newcastle,Lidil,11,5.41,2016-04-08 07:15:51
Birmingham,Lidil,27,4.42,2016-07-05 21:28:37
Birmingham,Aldi,27,4.42,2016-04-27 18:18:48
Newcastle,Spar,52,8.17,2016-07-05 13:20:56
Birmingham,Morissons,9,2.35,2016-09-14 01:58:28
Manchester,Spar,39,5.92,2016-09-07 03:09:54
Birmingham,Aldi,22,1.07,2017-03-05 15:58:58
Glasglow,Spar,38,8.22,2016-11-05 05:09:28
London,Coop,46,0.99,2016-09-28 04:26:26
London,Sainsbury,37,8.00,2017-01-28 07:45:24
Glasglow,Spar,46,0.99,2016-03-08 23:49:31
Glasglow,Morissons,21,5.78,2016-10-14 10:44:50
Manchester,Tesco,7,1.31,2016-05-06 12:36:55
Manchester,Tesco,30,4.50,2016-10-18 20:38:41
Birmingham,Morissons,32,5.49,2017-01-24 08:01:40
Glasglow,Morissons,4,1.98,2016-07-14 06:24:45
London,Spar,33,6.82,2016-07-31 10:39:43
Glasglow,Lidil,39,5.92,2016-07-25 19:37:05
Birmingham,Spar,30,4.50,2016-08-14 07:06:13
London,Sainsbury,41,6.96,2017-01-23 08:13:21
Edinburgh,Sainsbury,17,6.34,2016-11-02 09:40:16
Newcastle,Aldi,21,5.78,2016-12-29 03:02:50
Newcastle,Morissons,46,0.99,2016-07-15 20:34:52
Newcastle,Aldi,50,3.06,2016-03-26 13:50:11
Newcastle,Spar,9,2.35,2017-02-22 09:49:34
Edinburgh,Tesco,48,1.26,2017-03-02 04:40:05
Newcastle,Lidil,22,1.07,2016-04-19 05:45:07
Manchester,Coop,47,7.05,2016-06-08 09:55:21
Glasglow,Tesco,8,8.32,2016-05-31 15:52:03
Newcastle,Morissons,54,9.60,2017-02-21 22:06:32
London,Aldi,27,4.42,2016-07-26 01:55:55
Edinburgh,Spar,57,4.52,2016-07-02 19:44:37
Edinburgh,Lidil,35,2.13,2016-05-25 06:33:29
London,Lidil,27,4.42,2016-08-16 22:09:21
Manchester,Sainsbury,16,6.00,2016-05-27 12:57:50
Edinburgh,Aldi,1,1.30,2016-05-14 14:40:02
Glasglow,Aldi,51,3.86,2017-02-03 12:15:16
London,Sainsbury,29,1.14,2017-01-22 01:55:16
London,Spar,46,0.99,2017-02-08 00:26:47
Birmingham,Spar,42,9.19,2016-09-28 12:35:41
London,Spar,55,4.70,2016-03-24 10:21:47
Glasglow,Coop,53,4.90,2016-11-26 05:19:36
Manchester,Morissons,8,8.32,2016-08-24 04:30:52
Edinburgh,Tesco,57,4.52,2017-02-20 09:45:37
Manchester,Lidil,54,9.60,2016-05-11 23:05:47
Manchester,Spar,28,3.99,2016-11-10 09:29:14
London,Tesco,15,7.25,2016-03-18 15:25:30
London,Aldi,20,6.97,2016-08-30 19:50:34
London,Morissons,55,4.70,2016-08-17 09:35:11
Edinburgh,Lidil,18,3.99,2016-03-12 14:46:22
Glasglow,Tesco,60,3.85,2017-02-25 18:20:57
Birmingham,Spar,53,4.90,2016-10-19 06:28:30
London,Morissons,21,5.78,2016-11-13 20:40:06
London,Coop,12,5.99,2017-02-26 12:05:11
Manchester,Lidil,52,8.17,2016-12-13 10:22:54
Newcastle,Tesco,27,4.42,2016-11-06 11:14:00
Edinburgh,Lidil,17,6.34,2017-01-12 23:36:08
Birmingham,Sainsbury,1,1.30,2016-07-07 15:54:07
Manchester,Aldi,17,6.34,2016-07-30 20:48:49
Manchester,Spar,22,1.07,2017-01-19 22:51:58
Glasglow,Aldi,17,6.34,2016-10-20 16:10:45
Manchester,Morissons,17,6.34,2016-08-10 07:58:46
Newcastle,Sainsbury,28,3.99,2017-03-02 00:57:11
Edinburgh,Spar,28,3.99,2016-10-09 02:11:37
Newcastle,Spar,60,3.85,2016-10-13 10:08:35
London,Coop,27,4.42,2017-02-28 14:23:13
Manchester,Sainsbury,40,1.87,2016-10-26 05:43:07
Edinburgh,Spar,8,8.32,2016-05-05 22:59:02
Manchester,Lidil,20,6.97,2016-06-10 23:37:24
Glasglow,Sainsbury,36,5.67,2016-03-29 06:25:56
Birmingham,Spar,36,5.67,2016-11-12 05:42:03
Newcastle,Morissons,44,4.94,2016-10-30 10:44:45
Birmingham,Sainsbury,3,5.55,2016-10-20 15:55:44
London,Coop,57,4.52,2016-09-10 08:44:11
Glasglow,Tesco,4,1.98,2016-03-05 03:10:57
Birmingham,Spar,5,7.93,2016-06-09 01:23:39
Glasglow,Aldi,1,1.30,2016-05-09 01:59:35
