component,terminal_id,temperature,timestamp
USB,3,40.1,2016-07-01 10:31:57
Monitor,2,64.6,2016-06-29 00:13:34
Monitor,20,64.7,2016-09-16 01:37:35
GPU,14,69.3,2017-01-11 16:26:25
Battery,13,54.8,2016-05-13 19:23:50
CPU,16,64.4,2016-11-26 18:03:07
Monitor,18,97.0,2016-03-15 11:50:18
USB,4,49.1,2017-02-26 13:50:22
USB,7,78.7,2016-06-01 08:03:27
CPU,13,85.2,2016-04-15 17:19:10
CPU,8,88.1,2016-10-30 10:50:09
GPU,6,88.0,2016-12-05 18:20:00
Battery,2,40.7,2016-07-13 23:03:03
CPU,8,63.3,2016-07-09 05:38:14
Battery,14,84.3,2016-05-08 14:02:36
GPU,12,89.8,2016-12-27 23:58:47
Battery,17,65.8,2016-05-13 11:34:56
Monitor,7,70.0,2017-02-10 14:18:01
CPU,9,92.2,2016-08-31 12:24:17
Battery,1,56.1,2016-10-26 07:05:25
Monitor,19,65.0,2016-07-06 09:06:39
CPU,6,46.8,2016-03-29 13:28:39
Battery,14,74.7,2016-03-19 00:34:42
USB,14,69.8,2016-11-23 12:15:58
Monitor,5,95.0,2017-01-09 11:04:46
Battery,2,66.8,2016-09-26 05:10:23
Monitor,6,56.5,2016-12-04 05:32:38
Battery,9,70.6,2016-12-10 00:09:57
GPU,8,40.2,2016-10-30 21:03:09
CPU,14,44.4,2016-05-28 10:06:33
CPU,5,56.0,2016-05-05 17:38:06
Battery,16,92.3,2017-03-15 02:18:20
USB,6,63.4,2016-09-20 11:18:25
USB,3,55.5,2016-06-23 03:17:09
Battery,15,71.6,2017-01-28 04:33:09
USB,18,77.4,2016-12-30 07:34:44
Battery,18,80.2,2016-11-04 19:35:03
Battery,18,93.9,2016-07-28 19:01:24
Monitor,3,55.1,2016-07-30 03:00:13
Monitor,6,71.8,2016-06-26 08:53:08
Battery,4,95.0,2016-05-02 17:15:52
Monitor,11,81.2,2016-10-14 14:29:28
GPU,19,42.1,2016-04-16 06:22:41
GPU,14,42.6,2016-12-18 20:02:09
Battery,5,58.1,2016-08-19 22:24:19
GPU,2,77.4,2017-02-12 06:02:54
USB,14,71.8,2016-08-16 05:14:20
Battery,5,79.0,2016-10-20 07:53:28
USB,17,61.9,2016-09-27 18:12:22
GPU,1,71.6,2016-08-02 22:30:43
Monitor,7,96.2,2017-02-19 12:08:35
GPU,15,94.3,2016-03-08 22:31:02
Battery,20,85.8,2016-08-12 05:44:53
Battery,10,93.5,2016-08-06 11:08:40
GPU,20,97.7,2016-07-03 20:23:34
CPU,17,85.6,2016-07-18 08:28:08
Monitor,10,98.8,2017-03-14 13:25:36
CPU,19,62.9,2016-09-16 07:57:25
CPU,18,72.4,2016-03-03 08:12:42
Monitor,1,51.7,2016-08-11 23:23:49
CPU,13,93.5,2016-12-01 14:51:10
GPU,1,89.4,2016-07-06 06:53:20
Battery,12,84.3,2016-04-21 07:26:31
Monitor,18,56.4,2016-12-20 03:28:52
CPU,19,86.1,2017-03-11 05:30:46
GPU,1,80.6,2016-09-21 17:53:48
GPU,12,95.9,2016-09-05 17:38:28
USB,6,66.1,2016-10-02 16:23:32
Battery,1,79.1,2016-04-13 06:12:08
USB,15,77.3,2016-07-02 12:11:11
CPU,14,68.2,2016-12-26 00:36:17
GPU,14,52.1,2017-02-26 07:23:35
GPU,6,80.9,2017-03-02 08:27:28
Monitor,7,64.6,2016-06-15 10:29:42
GPU,5,45.5,2016-12-16 17:25:05
CPU,5,50.8,2016-05-28 18:24:53
CPU,4,88.0,2016-03-24 01:54:30
Monitor,8,47.7,2016-06-16 21:05:56
CPU,9,93.2,2016-04-06 19:44:51
Monitor,8,80.7,2016-05-01 14:35:01
USB,17,42.1,2017-03-14 12:13:11
Monitor,13,51.1,2016-06-21 05:34:03
Monitor,17,79.0,2016-12-29 23:57:43
USB,16,60.6,2017-01-01 22:03:17
Battery,20,86.7,2016-11-16 11:11:59
Monitor,7,84.7,2016-12-03 07:57:18
Monitor,1,42.8,2016-10-12 04:29:48
GPU,19,56.1,2016-07-25 22:59:59
CPU,15,70.5,2016-09-16 08:03:23
CPU,8,50.8,2016-08-31 06:44:51
GPU,1,47.1,2016-08-21 12:56:31
Monitor,9,53.2,2017-01-27 05:05:09
Battery,13,58.1,2017-02-27 07:50:02
Monitor,13,79.0,2016-07-27 05:12:41
USB,16,69.4,2016-07-28 14:33:06
USB,4,53.9,2016-10-31 17:08:22
Battery,20,77.4,2016-10-29 16:19:42
Battery,2,52.4,2017-01-23 14:40:37
CPU,5,66.3,2016-12-08 23:38:47
Monitor,6,72.6,2016-05-15 01:19:47
Battery,16,63.0,2016-03-04 17:49:13
Monitor,10,85.4,2016-10-23 10:01:49
USB,15,83.9,2016-07-10 04:39:42
CPU,4,64.4,2016-10-27 01:52:49
USB,13,56.3,2016-05-24 02:16:09
GPU,2,79.9,2016-06-03 22:50:18
Monitor,1,60.9,2017-02-24 04:11:29
Monitor,19,51.1,2017-02-02 18:06:20
USB,20,72.1,2017-01-14 10:43:48
USB,20,73.3,2016-07-22 15:15:30
USB,3,62.2,2016-11-21 00:50:47
CPU,5,54.9,2017-03-14 11:38:34
CPU,3,69.4,2016-10-28 02:42:45
USB,11,62.1,2016-08-06 05:14:40
CPU,6,45.8,2017-01-29 12:19:20
USB,3,79.6,2017-01-19 01:50:57
GPU,14,43.9,2016-09-23 11:41:42
Battery,11,79.4,2016-03-03 09:21:24
Battery,16,80.9,2016-06-28 21:25:04
USB,16,82.2,2016-06-18 00:54:08
CPU,20,41.0,2016-07-13 21:06:40
Battery,3,93.7,2016-10-19 06:29:25
Battery,13,88.6,2017-01-08 07:41:35
USB,6,96.6,2016-12-28 13:38:58
CPU,8,93.9,2016-05-13 13:21:27
USB,20,51.1,2016-11-25 13:59:07
Monitor,2,70.9,2016-11-24 21:49:44
Battery,18,73.8,2016-07-03 06:05:13
Battery,17,41.1,2016-07-17 04:56:48
CPU,2,53.9,2017-01-13 21:34:28
CPU,1,72.9,2016-12-12 20:28:45
Monitor,17,93.1,2016-11-14 01:08:19
USB,15,97.5,2016-05-14 22:21:26
CPU,19,84.2,2016-06-21 18:26:01
GPU,1,43.4,2017-01-12 20:55:03
Monitor,6,63.4,2017-02-20 04:31:07
CPU,8,47.7,2016-03-03 05:38:09
Monitor,19,43.3,2016-06-08 04:38:54
USB,6,85.7,2016-12-18 19:44:07
Monitor,1,90.1,2016-09-19 05:50:44
USB,10,52.9,2016-09-04 22:55:28
GPU,10,88.3,2016-12-24 21:49:30
CPU,18,89.3,2017-03-07 04:55:16
Battery,4,92.2,2017-02-15 16:47:27
GPU,11,89.2,2016-09-23 15:35:27
USB,11,93.6,2016-03-10 13:44:04
USB,9,57.1,2016-05-28 06:14:20
Battery,2,71.0,2016-04-19 19:08:59
USB,7,97.7,2017-02-28 09:31:45
Monitor,19,50.5,2016-12-02 23:44:55
USB,9,63.0,2016-10-10 23:04:51
Monitor,18,69.8,2016-12-28 01:34:56
Monitor,8,98.8,2016-03-03 08:22:08
CPU,2,98.7,2017-01-11 14:04:59
USB,7,96.2,2016-09-08 15:00:24
CPU,14,54.0,2016-07-07 01:30:14
USB,11,54.0,2016-08-09 08:07:55
GPU,13,72.1,2016-12-07 19:24:15
GPU,4,54.7,2016-09-11 08:26:56
CPU,16,82.1,2016-10-15 08:37:07
USB,17,79.3,2017-01-20 22:16:59
USB,4,97.4,2016-05-04 05:10:08
USB,3,43.8,2016-11-05 22:11:55
USB,15,73.4,2016-04-30 03:29:38
CPU,16,56.1,2016-07-20 08:36:40
USB,17,96.4,2016-03-10 15:25:11
CPU,9,40.4,2016-07-11 19:48:47
GPU,3,42.2,2016-04-06 05:32:16
Battery,4,52.0,2016-11-02 06:13:25
GPU,2,85.9,2016-11-18 07:55:53
Monitor,11,44.0,2016-08-31 11:34:27
Battery,4,77.2,2016-11-23 21:04:07
Monitor,2,47.7,2016-05-26 05:59:16
CPU,5,73.9,2017-02-27 06:31:51
GPU,4,69.1,2017-02-20 14:22:03
Monitor,9,54.1,2017-02-17 10:10:42
Battery,3,82.4,2016-07-05 00:08:57
CPU,7,46.9,2017-01-14 07:59:58
USB,18,49.7,2016-12-18 19:40:19
Battery,15,87.0,2016-12-02 00:00:28
GPU,7,42.7,2017-03-07 05:59:54
GPU,19,89.3,2016-07-01 22:24:56
Battery,15,98.3,2016-07-26 14:43:33
GPU,10,84.8,2017-02-07 04:10:36
Battery,6,47.9,2016-09-21 10:55:42
Monitor,13,89.0,2016-10-17 22:47:19
Battery,20,75.1,2016-06-30 16:49:55
Monitor,11,71.0,2016-10-05 04:17:03
USB,10,82.7,2016-10-31 20:45:33
CPU,9,83.4,2016-05-25 04:29:39
GPU,19,67.0,2016-05-19 16:39:21
CPU,6,98.0,2016-12-20 07:16:37
GPU,18,48.9,2016-06-04 07:36:54
CPU,6,85.9,2016-08-18 16:43:22
Monitor,17,74.2,2016-07-19 06:31:17
CPU,10,89.0,2016-09-24 05:31:42
CPU,16,95.5,2016-06-01 20:15:00
Monitor,13,64.1,2017-02-24 13:24:51
USB,11,69.9,2016-03-12 20:13:53
USB,8,79.1,2016-12-11 08:17:56
Monitor,13,79.6,2016-11-25 08:18:35
USB,7,93.7,2016-06-02 18:03:04
Battery,17,92.4,2016-05-22 02:49:28
Battery,7,96.6,2017-01-18 05:42:08
USB,13,48.3,2016-07-28 09:23:57
Battery,4,82.9,2017-02-11 23:23:30
USB,9,52.5,2016-10-03 18:29:39
Monitor,6,69.0,2016-10-07 19:17:24
USB,4,61.3,2016-08-06 06:19:22
Battery,12,88.8,2017-01-19 10:20:23
USB,9,83.1,2017-01-22 19:28:05
GPU,12,56.2,2017-01-19 10:39:41
USB,6,46.8,2016-12-07 15:59:38
CPU,13,68.9,2017-03-09 14:11:41
USB,1,92.0,2016-07-09 00:07:54
CPU,9,98.0,2016-06-25 02:41:51
GPU,3,50.6,2016-09-11 05:54:53
Monitor,5,59.4,2016-03-10 03:54:06
USB,15,86.2,2017-02-27 21:05:43
CPU,2,93.8,2016-11-23 12:41:04
USB,10,70.5,2016-04-09 14:15:58
Monitor,20,95.0,2016-08-31 05:37:21
Battery,1,55.0,2016-10-15 16:53:09
CPU,14,46.5,2016-09-06 01:21:51
CPU,14,75.2,2016-09-28 04:04:13
Battery,17,90.8,2016-07-14 10:32:19
Battery,10,72.2,2016-08-29 13:20:29
Battery,2,92.5,2016-05-12 11:20:26
USB,19,52.2,2016-07-23 17:05:36
Monitor,8,61.5,2016-10-29 02:00:39
Battery,20,58.6,2017-01-31 16:25:50
CPU,4,40.9,2016-04-10 20:33:12
CPU,2,91.8,2016-03-30 13:05:09
CPU,20,93.5,2016-11-22 02:59:45
GPU,16,88.5,2016-05-08 15:46:28
Monitor,20,88.0,2016-11-18 22:32:42
GPU,20,77.3,2016-11-26 19:41:37
USB,9,81.9,2016-08-21 22:42:47
Monitor,16,52.9,2016-06-30 14:00:58
Monitor,12,42.5,2016-09-13 16:58:28
USB,11,72.6,2016-09-15 14:21:24
USB,8,82.0,2016-12-17 08:15:43
CPU,19,44.4,2016-08-08 10:00:14
Battery,10,97.4,2016-06-27 19:42:43
Monitor,3,60.7,2016-03-09 07:34:21
Battery,10,97.9,2016-09-16 13:43:57
Battery,16,62.6,2016-10-08 06:18:28
CPU,2,75.6,2016-03-10 10:45:42
CPU,6,64.8,2016-11-09 00:30:13
GPU,1,65.5,2016-12-28 20:16:37
USB,5,80.4,2016-12-04 00:26:47
CPU,10,40.7,2016-03-24 19:37:14
Battery,9,44.3,2016-05-23 20:09:56
GPU,11,79.2,2016-10-06 03:04:42
CPU,6,95.5,2016-11-01 00:17:46
GPU,8,58.6,2016-07-27 05:43:57
Monitor,8,66.4,2016-08-10 22:49:44
Monitor,20,60.8,2016-11-19 01:55:43
USB,2,63.8,2017-02-16 10:29:55
Battery,1,40.1,2016-08-20 07:34:31
USB,4,64.0,2017-01-06 01:14:38
Battery,5,41.5,2016-05-01 15:37:15
USB,14,52.3,2016-12-13 00:58:13
USB,14,48.3,2016-06-24 19:41:34
Battery,2,57.7,2016-11-24 08:42:29
GPU,13,81.8,2016-11-26 16:52:30
GPU,2,89.1,2016-03-14 12:47:31
Monitor,18,86.4,2017-01-30 01:39:17
CPU,5,97.1,2016-06-18 06:45:24
Monitor,8,69.9,2016-07-10 10:03:56
Monitor,1,77.8,2016-04-02 07:01:16
GPU,12,66.0,2016-09-29 03:20:24
USB,19,97.9,2016-07-01 00:32:44
CPU,17,56.9,2016-10-13 17:04:11
Monitor,20,87.8,2016-10-21 05:04:18
USB,10,95.3,2016-04-17 06:48:19
Battery,7,48.8,2016-11-30 12:04:27
USB,15,87.5,2016-04-04 20:15:37
Battery,1,66.7,2016-03-17 19:26:37
Battery,3,53.4,2016-08-12 04:19:09
USB,19,78.9,2016-05-25 06:15:46
Battery,10,41.5,2016-10-12 22:15:35
GPU,4,43.1,2016-11-17 01:44:29
Battery,5,44.4,2016-03-01 23:59:02
Battery,15,80.7,2016-06-15 00:58:41
CPU,5,62.0,2016-07-15 04:51:27
Monitor,15,56.5,2016-10-28 06:01:27
CPU,19,79.0,2016-03-20 11:47:39
GPU,14,78.0,2016-05-13 13:06:56
CPU,9,91.3,2016-06-17 08:09:37
Monitor,9,61.7,2016-08-02 19:35:24
CPU,9,90.6,2016-08-18 17:42:49
GPU,2,47.3,2016-08-01 10:38:43
Battery,11,50.9,2016-12-26 16:46:40
USB,7,57.2,2016-05-06 10:12:39
GPU,16,92.9,2017-02-18 13:58:13
CPU,15,61.2,2017-01-26 02:52:13
CPU,12,60.0,2016-10-31 07:19:14
GPU,13,42.2,2016-09-10 06:00:32
GPU,6,51.1,2016-10-01 03:59:35
Monitor,10,57.6,2016-07-21 21:10:36
Monitor,9,89.3,2017-01-04 02:51:45
CPU,14,91.0,2016-12-24 08:18:57
CPU,18,51.0,2016-09-12 01:11:29
CPU,10,84.5,2017-02-09 06:11:25
Monitor,2,66.4,2016-09-30 19:27:44
Battery,7,46.0,2016-07-09 18:27:26
USB,6,57.6,2017-01-19 07:41:46
Monitor,3,91.7,2016-12-20 04:09:52
Battery,15,90.3,2016-06-13 14:53:32
CPU,1,66.0,2016-08-23 22:40:42
Monitor,13,79.9,2016-03-21 05:49:18
Monitor,8,63.2,2017-01-15 23:07:00
Battery,13,66.2,2016-10-05 12:09:40
Monitor,7,87.6,2016-12-30 21:40:16
CPU,4,40.9,2016-10-02 22:11:22
GPU,8,76.6,2016-05-18 15:01:57
GPU,12,93.6,2017-01-18 09:31:49
CPU,7,59.6,2016-12-07 07:18:48
Monitor,8,50.6,2016-11-23 23:58:21
GPU,9,86.1,2016-06-16 04:51:42
Battery,12,85.3,2016-10-29 06:39:08
CPU,13,83.0,2016-09-05 12:24:22
USB,4,67.4,2017-01-08 13:30:08
USB,2,75.6,2017-02-26 09:49:42
Battery,13,67.3,2016-03-15 09:12:48
USB,17,86.3,2016-05-23 22:05:20
GPU,15,90.5,2016-12-18 11:09:08
GPU,17,82.7,2016-03-11 07:06:21
GPU,10,58.5,2016-11-07 00:38:47
Monitor,17,47.4,2016-04-26 13:06:24
GPU,12,79.6,2016-04-18 14:41:39
GPU,11,47.2,2017-01-29 14:35:48
USB,9,70.9,2016-12-21 14:10:55
CPU,1,76.9,2016-04-09 05:34:56
GPU,19,63.1,2016-12-12 07:03:39
USB,8,87.0,2017-02-01 18:45:41
Battery,5,96.1,2016-12-01 08:51:12
Battery,10,100.0,2016-03-26 18:42:12
GPU,13,99.4,2016-04-04 00:34:42
Monitor,1,51.6,2016-04-23 19:38:12
CPU,6,68.1,2016-03-04 02:27:43
GPU,1,53.2,2017-03-07 22:49:41
Battery,14,74.9,2016-05-17 19:55:49
Battery,12,75.1,2016-06-22 23:23:56
GPU,4,82.9,2016-12-04 02:53:24
CPU,3,96.5,2016-07-03 19:10:01
USB,19,60.0,2016-09-29 09:55:50
Monitor,8,78.3,2016-06-16 19:34:32
Battery,19,82.2,2017-02-03 19:13:51
GPU,16,62.3,2016-08-05 11:39:28
USB,3,75.4,2016-09-20 06:19:33
USB,20,84.6,2016-04-13 01:09:25
GPU,1,57.3,2016-08-27 11:59:09
USB,20,48.8,2016-10-16 18:38:54
CPU,20,56.6,2016-05-31 02:43:47
Battery,1,49.3,2016-10-08 06:22:39
Monitor,18,56.7,2016-11-09 18:39:43
GPU,8,41.7,2016-05-19 06:26:57
Battery,6,70.2,2016-04-19 09:28:56
CPU,11,51.9,2016-03-08 20:20:48
Monitor,9,87.4,2016-06-16 02:34:07
GPU,17,81.3,2017-02-09 23:58:36
CPU,19,60.7,2016-04-30 06:56:26
GPU,9,46.3,2016-11-11 13:26:25
Monitor,3,85.8,2017-03-12 03:44:12
CPU,5,92.0,2016-06-08 03:58:36
Monitor,10,78.7,2016-04-13 02:38:00
CPU,7,81.6,2017-01-02 00:05:28
GPU,1,97.8,2016-07-09 09:48:17
GPU,6,76.4,2017-01-14 19:20:09
CPU,2,83.7,2016-08-29 12:51:41
Battery,14,80.3,2016-11-10 21:24:08
USB,4,82.0,2017-02-19 02:34:12
Battery,16,48.5,2016-07-18 15:20:29
Monitor,3,60.9,2016-11-19 05:18:25
GPU,19,62.4,2016-05-24 15:59:49
Battery,9,59.4,2016-05-21 05:54:37
Battery,6,91.9,2016-05-05 23:15:38
USB,2,95.6,2016-08-23 09:38:37
Monitor,17,69.2,2016-09-15 13:22:03
USB,18,77.1,2016-03-16 08:00:44
USB,2,92.8,2016-09-06 23:56:46
Battery,1,85.9,2017-02-02 00:13:55
Battery,15,81.2,2016-04-11 17:20:42
GPU,9,49.7,2017-02-18 10:00:27
GPU,14,72.0,2016-03-18 15:29:05
Monitor,14,51.6,2016-04-08 14:21:41
GPU,14,72.5,2016-03-20 06:17:12
GPU,2,55.6,2017-02-06 14:33:21
CPU,11,45.0,2016-05-24 01:49:31
Battery,2,43.0,2016-08-25 15:10:55
GPU,11,49.6,2016-07-16 10:13:04
USB,6,82.2,2016-03-09 10:18:35
CPU,14,43.0,2017-02-01 14:38:15
Battery,7,64.0,2016-07-01 23:35:38
Monitor,17,82.6,2016-07-07 17:27:28
Monitor,15,81.9,2016-04-19 22:14:32
Battery,20,99.8,2016-11-05 10:06:37
USB,6,67.7,2017-01-20 14:00:47
Monitor,13,40.0,2016-11-21 16:02:04
Battery,1,42.7,2017-03-04 04:31:08
Monitor,1,65.8,2016-12-27 00:22:59
Battery,7,82.2,2016-03-18 16:59:56
USB,1,91.4,2016-12-21 05:45:59
Battery,11,91.1,2016-11-10 12:31:56
Battery,8,62.0,2016-05-15 14:12:44
USB,7,93.3,2016-06-26 10:36:55
USB,20,61.3,2017-01-27 12:58:21
CPU,5,44.8,2016-08-12 11:07:46
CPU,17,86.2,2017-01-21 18:28:06
GPU,20,58.1,2016-12-08 05:22:20
CPU,6,48.5,2016-06-08 23:47:12
USB,5,54.4,2016-06-03 01:05:04
CPU,2,80.4,2017-02-04 05:57:59
GPU,16,63.9,2016-11-09 01:13:52
CPU,9,59.1,2017-01-29 08:50:11
GPU,3,44.8,2016-07-04 23:00:12
GPU,17,51.3,2016-03-20 06:34:06
GPU,6,76.5,2016-11-26 05:15:19
USB,1,96.7,2016-03-22 17:32:57
Monitor,9,52.8,2016-05-25 10:55:28
Monitor,5,53.7,2017-02-03 21:55:23
Battery,6,96.0,2017-01-26 00:27:49
CPU,6,67.8,2016-07-24 09:46:40
GPU,12,66.9,2017-01-10 05:33:07
Battery,4,79.0,2016-09-08 14:47:13
USB,14,83.7,2016-04-13 01:55:16
USB,16,83.5,2016-12-27 00:57:43
Monitor,4,62.9,2017-02-07 06:01:55
Battery,5,89.9,2016-08-25 00:02:32
Battery,19,44.8,2016-09-04 03:06:28
USB,19,94.8,2016-04-27 18:18:03
Battery,11,56.0,2016-06-28 23:52:24
GPU,7,61.6,2016-07-27 04:38:55
GPU,10,81.0,2016-11-03 01:34:17
Battery,14,79.3,2016-03-03 07:39:14
USB,7,86.7,2016-08-08 09:59:37
USB,5,45.5,2017-02-26 01:17:08
CPU,7,69.9,2016-05-01 09:45:38
